TIC ID|TOI|Separation (arcsec)|Separation (arcsec) Error|Pos Angle E of N (deg)|Pos Angle E of N (deg) Error|Filter|Delta Mag|Delta Mag Error|Observation Date (UT)|Date|User|Group|Tag|Notes
22221375|TOI 652|0.023||142.6||562: 562 (54) nm|2.21||2020-03-15|2021-12-17 09:38:16|furlan|tfopwg|103562|180 degree ambiguity in PA, uncertain fit
22593147||0.244||30.9||832: 832 (40) nm|0.43||2021-02-07|2022-09-15 17:21:01|furlan|tfopwg|94653|180 degree ambiguity in PA
23170835|TOI 2430|1.7518||95.7||I: 879 (289) nm|1.6||2021-03-01|2021-03-05 07:13:37|ziegler|tfopwg|94962|
23179035|TOI 5770|0.379|0.003|204.54|0.53|Hcont|2.197|0.016|2023-06-06|2023-11-09 11:55:45|ciardi|tfopwg|429202|Palomar AO (PI: Ciardi with Clark):
23179035|TOI 5770|0.382|0.003|205.56|0.53|Brgamma|2.152|0.013|2023-06-06|2023-11-09 11:55:45|ciardi|tfopwg|429202|Palomar AO (PI: Ciardi with Clark):
23189325||0.023||234.6||832: 832 (40) nm|1.9||2021-02-25|2022-09-16 17:53:42|furlan|tfopwg|95152|180 degree ambiguity in PA, uncertain fit
23189325||0.03||238.7||562: 562 (54) nm|1.73||2021-02-25|2022-09-16 17:53:42|furlan|tfopwg|95152|180 degree ambiguity in PA, uncertain fit
23937608|TOI 5842|3.557|0.025|194.08|0.06|Hcont|2.069|0.008|2023-06-08|2023-11-09 11:55:12|ciardi|tfopwg|429542|Palomar AO (PI: Ciardi with Clark):
23937608|TOI 5842|3.807|0.027|193.48|0.05|Hcont|2.759|0.011|2023-06-08|2023-11-09 11:55:12|ciardi|tfopwg|429542|Palomar AO (PI: Ciardi with Clark):
23937608|TOI 5842|3.559|0.025|194.23|0.06|Brgamma|2.016|0.01|2023-06-08|2023-11-09 11:55:12|ciardi|tfopwg|429542|Palomar AO (PI: Ciardi with Clark):
