TIC,Source,RandomI,"epsi",sepsi,IPDfmp,RUWE,"Gmag","RV","e_RV",NSS,"RAJ2000","DEJ2000"
64837857,2003378188041736320,19065753,0.12,1.95E+01,0,1.005,10.356592,-3.54,1.08,0,338.8052405,54.77355901
90504905,2024066976804483072,30209678,0,0.00E+00,0,1.023,14.986134,-22.42,4.77,0,290.5723703,26.31955584
57753734,2032206627049041280,413738711,0,0.00E+00,0,0.995,13.22581,-14.07,1.66,0,296.3539686,30.77997252
22069559,2044650384228759552,431786401,0.129,1.96E+01,0,0.868,8.586234,,,0,292.72371,30.433435
40466976,2045712375004610944,1537369603,58.972,1.92E+06,64,,8.158663,,,0,293.3281966,33.48260389
40055053,2046792606517797632,149177624,0.086,1.14E+01,0,0.918,11.918018,-14.55,3.12,0,293.0837914,34.94039527
69356857,2048174967505679488,459645902,0.049,3.54E+00,11,0.891,12.160616,-19,0.84,0,294.3374991,35.27664815
92439980,2054046874995224576,27662034,0.075,8.94E+00,0,0.94,10.238771,21.2,0.25,0,302.8852443,31.63787677
89643259,2055173122824760832,90971647,1.632,3.87E+03,0,11.526,10.743698,-3.79,1.96,0,301.4108578,33.04921609
89759617,2059023887421958528,248631480,0.781,7.83E+02,0,5.11,10.654353,-15.14,5.69,0,301.5646783,35.5884041
42484503,2061971708131242752,987583686,12.395,1.01E+05,72,,13.578164,-61.56,1.53,0,302.3249129,39.12054413
63659057,2063066894735117824,1280184661,0,0.00E+00,0,0.949,13.433066,-26.44,2.56,0,308.5980781,37.71727254
13419950,2068399423045976320,1792709341,0.156,3.07E+01,17,1.159,9.763905,,,0,305.2893132,41.46235814
27990610,2086830502105850240,870754491,0,0.00E+00,0,0.992,15.013418,,,0,297.0154804,49.22531508
76193403,2109230989933696640,227797850,0.058,4.29E+00,0,0.806,10.968229,-24.02,0.44,0,273.5197291,39.3335459
48506505,2131587531660567296,1408893980,0.065,5.53E+00,0,1.049,12.374661,1.99,0.88,0,285.2685653,48.55998478
27534138,2135590578620605568,1798489268,0.168,4.24E+01,17,1.404,11.653711,-17.37,1.12,0,295.4865532,51.01349508
26547036,2136815881249993600,596199122,0.067,5.45E+00,0,0.959,9.700555,-15.3,0.25,0,292.1666473,53.4873213
64282927,2172941263501623680,1242681820,0.073,6.60E+00,0,0.949,9.609873,-14.89,0.22,0,321.7202113,53.6395358
70785910,2320600658577841536,533934785,0.075,6.50E+00,5,1.163,12.669578,31.11,1.48,0,1.583612579,-30.33627836
70797900,2320703325475764864,804400576,1.015,1.45E+03,0,9.184,12.129457,5.06,4.46,0,1.977328455,-29.97899093
27966179,2340807311474086272,1339077574,0.024,3.33E-01,0,1.061,13.607408,34.68,3.09,0,358.7515647,-22.53875076
20892672,2365656377341237120,48589709,1.333,1.04E+03,0,10.611,13.574874,-7.83,3.07,0,1.399019778,-19.48949963
92226327,2371032916186181760,1339420120,0.28,7.39E+01,1,1.53,12.653936,-13.74,0.42,0,11.24721216,-15.27153972
66497310,2390762797648110336,1129894115,0.081,6.35E+00,0,1.065,12.836054,-12.97,1.78,0,356.0453152,-18.88951056
9102327,2392761469269057408,380546240,0.171,4.01E+01,0,1.407,11.689782,-9.57,0.77,0,350.7797795,-19.41967167
2758565,2394278756660548224,107990277,0.139,1.58E+01,1,1.513,12.792503,-75.76,7.71,0,356.2831446,-17.44919005
40083958,2426349694072115968,558856637,0.378,1.48E+02,0,2.151,11.490025,23.56,0.86,0,7.387244808,-10.46848936
9727392,2434381179836445952,1087749906,0.123,2.06E+01,0,1.17,11.634248,32.79,6,2,358.4447312,-10.88497257
49710555,2436669572771215232,1527738410,0.112,1.03E+01,0,1.186,12.726988,-2.56,1.78,0,352.1643927,-10.85958605
29919341,2477723103569553920,1435174683,0.148,2.35E+01,40,1.303,9.905983,,,0,24.88442048,-7.394609084
4464022,2606310266883317248,1481915370,0.11,1.18E+01,0,1.195,12.874202,,,0,346.5925994,-9.201504675
909930,2618640495219327104,805156124,0.16,3.34E+01,18,1.239,11.127868,-22.29,2.2,0,328.0387244,-8.419535854
37117064,2909390093029326080,1780961300,25.123,8.73E+05,50,,12.226748,,,0,90.48828855,-29.13643585
63303499,2921445417696098944,43721676,0.128,2.93E+01,15,1.288,10.607264,,,0,104.9227377,-24.88399711
49079670,2925175888849429888,1217585132,0.073,9.46E+00,1,0.89,10.366027,37.54,0.21,0,101.0718477,-23.81928933
79292541,2932371539624766208,629225582,0.157,4.40E+01,44,1.093,9.535126,28.22,5.6,0,104.0558187,-20.0525182
79431527,2932388204097410176,190314520,0.09,9.86E+00,7,1.082,12.82679,43.92,2.65,0,104.2443563,-19.68359708
35582553,2952263040694977152,1641090121,0.111,1.96E+01,0,1.033,10.368287,,,0,102.2226978,-13.52728857
67196573,2998927486704012416,1197608501,0.517,4.05E+02,14,3.442,11.228879,44.46,0.91,0,89.45659464,-11.41828099
72090501,3004190986305090176,442796344,1.416,2.94E+03,0,9.552,9.456358,23.21,8.72,0,92.10563323,-11.14726541
39724477,3024301741171727744,1215934625,0.07,5.31E+00,1,1.003,12.806581,22.64,1.12,0,90.0957946,-3.757348581
5772442,3054813871743992832,111850828,1.299,3.37E+03,0,11.412,10.803038,47.53,0.4,0,111.7665771,-7.129637598
